id	ean	category	quantity	notsent	name	cnName	lastWeek
734	4250755399317	Rav02	20	2	Ravenna02K Seiten 80	MMD02 F 800	3|2|1|0|0
735	4250755399324	Rav02	1	0	Ravenna02K Seiten 90	MMD02 F 900	8|3|0|0|0
736	4250755399331	Rav02	32	0	Ravenna02K Seiten 100	MMD02 F 1000	9|2|0|0|0
737	4250755399379	Rav03	7	3	Ravenna03K Tür 90 L	MMD03 D 900 L	25|8|3|1|0
738	4250755399386	Rav03	6	2	Ravenna03K Tür 90 R	MMD03 D 900 R	24|8|3|1|0
739	4250755399409	Rav03	16	1	Ravenna03K Tür 100 L	MMD03 D 1000 L	23|6|3|2|1
740	4250755399416	Rav03	13	2	Ravenna03K Tür 100 R	MMD03 D 1000 R	23|7|4|3|1
741	4250755399362	Rav03	9	2	Ravenna03K Seiten 90	MMD03 F 900	25|8|3|1|0
742	4250755399393	Rav03	13	1	Ravenna03K Seiten 100	MMD03 F 1000	22|6|3|2|1
743	4250755399454	Rav06	17	2	Ravenna06K Tür	MMD06 D	24|7|3|2|0
744	4250755399423	Rav06	27	0	Ravenna06K Seiten 80	MMD06 F 800	9|1|1|0|0
745	4250755399430	Rav06	8	2	Ravenna06K Seiten 90	MMD06 F 900	6|4|2|2|0
746	4250755399447	Rav06	9	0	Ravenna06K Seiten 100	MMD06 F 1000	9|2|0|0|0
747	4250755399492	Rav02S	12	2	Ravenna02S Tür 80	MMD02 D 800 S	10|2|1|1|1
748	4250755399508	Rav02S	13	0	Ravenna02S Tür 90/100	MMD02 D 900/1000 S	12|4|2|1|0
749	4250755399461	Rav02S	13	2	Ravenna02S Seiten 80	MMD02 F 800 S	10|2|1|1|1
